id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
GrJZkb	YAEazI	SanchezRoige2019auditt23andMe	Grasby2020thickness	5e-6	TRUE	0	NA	NA
znhNiD	jlTDED	Howard2019dep23andMe	Grasby2020thickness	5e-8	TRUE	1	10.713761116158272	0.144
iNjDLN	KKI1LK	Howard2019dep23andMe	Grasby2020thickness	5e-6	TRUE	3	59.909266250793394	0.0062
1xVxlK	IxC4tt	Jansen2018insomnia23andMe	Grasby2020thickness	5e-8	TRUE	2	NA	NA
XtqdsM	CKn8er	Jansen2018insomnia23andMe	Grasby2020thickness	5e-6	TRUE	3	72.8920499315787	<2e-04
rp5qPP	yjOVJb	Liu2019smkint23andMe	Grasby2020thickness	5e-8	TRUE	1	NA	NA
9KiZS8	KMXuk3	Liu2019smkint23andMe	Grasby2020thickness	5e-6	TRUE	5	90.1869667862919	<2e-04
21Oq2P	XkWv5Y	Liu2019smkcpd23andMe	Grasby2020thickness	5e-8	TRUE	0	NA	NA
UDNYUZ	3KrKqi	Liu2019smkcpd23andMe	Grasby2020thickness	5e-6	TRUE	0	NA	NA
jzosFr	KARxtj	Liu2019drnkwk23andMe	Grasby2020thickness	5e-8	TRUE	0	NA	NA
q4wpCy	bv7U6x	Liu2019drnkwk23andMe	Grasby2020thickness	5e-6	TRUE	2	52.9093289222048	0.0236
PJNmy8	GJeQ15	Yengo2018bmi	Grasby2020surfarea	5e-8	TRUE	2	11.47463892174524	0.149
JzudGy	GKdfCV	Yengo2018bmi	Grasby2020surfarea	5e-6	TRUE	5	44.09324894576725	0.006
HKx6Jo	XATNfU	Xue2018diab	Grasby2020surfarea	5e-8	TRUE	0	NA	NA
IxTXku	Dwrt2a	Xue2018diab	Grasby2020surfarea	5e-6	TRUE	2	39.26816732844691	0.2032
vcCxdO	CM4PRt	Niarchou2020meat	Grasby2020surfarea	5e-8	TRUE	2	17.98936823608267	0.106
